eventId,participantId,eventToken,action,timestamp_local,timestamp_utcoffset,eventType,eventDate,noSpecifiedTime,startTime,endTime,priority,reminderPrior,reminderPriorSixth,reminderPriorQuarter,reminderPriorHalf,reminderPriorWhole,reminderAtEvent,completed,recurring,recurringStartDate,recurringEndDate,recurringFrequency,recurringSunday,recurringMonday,recurringTuesday,recurringWednesday,recurringThursday,recurringFriday,recurringSaturday,recurringHide,isHealthTrack,healthTrackGoal,healthTrackData,healthTrackType
1282,100,A8C1CE32-0932-4DB1-9072-65A69FF802D4,create,11/2/21 11:07,-700,scheduled,11/2/21,0,9:00:00,11:00:00,1,0,0,0,0,1,1,0,1,11/2/21,,weekly,0,0,1,0,0,0,0,0,0,,,
1647,100,A8C1CE32-0932-4DB1-9072-65A69FF802D4,edit,11/4/21 15:35,-700,scheduled,11/2/21,0,9:00:00,11:00:00,1,0,0,0,0,1,1,0,1,11/2/21,,weekly,0,0,1,0,0,0,0,0,1,,,meex
1648,100,A8C1CE32-0932-4DB1-9072-65A69FF802D4,complete,11/4/21 15:35,-700,scheduled,11/2/21,0,9:00:00,11:00:00,1,0,0,0,0,1,1,1,0,11/2/21,,weekly,0,0,1,0,0,0,0,0,1,,,meex
1649,100,A8C1CE32-0932-4DB1-9072-65A69FF802D4,complete,11/4/21 15:35,-700,scheduled,11/3/21,0,9:00:00,11:00:00,1,0,0,0,0,1,1,1,0,11/2/21,,weekly,0,0,1,0,0,0,0,0,1,,,meex
1650,100,A8C1CE32-0932-4DB1-9072-65A69FF802D4,complete,11/4/21 15:35,-700,scheduled,11/4/21,0,9:00:00,11:00:00,1,0,0,0,0,1,1,1,0,11/2/21,,weekly,0,0,1,0,0,0,0,0,1,,,meex
1651,100,8CFD59C7-6CBF-4DEE-9D1E-F03A40F6CC72,create,11/8/21 10:19,-800,scheduled,11/4/21,0,10:15:00,11:15:00,0,0,0,0,0,0,1,0,0,11/4/21,,none,0,0,0,0,0,0,0,0,0,,,
1654,100,8CFD59C7-6CBF-4DEE-9D1E-F03A40F6CC72,delete,11/8/21 10:20,-800,scheduled,11/4/21,0,10:15:00,11:15:00,0,0,0,0,0,0,1,0,0,11/4/21,,none,0,0,0,0,0,0,0,0,0,,,
1675,100,A8C1CE32-0932-4DB1-9072-65A69FF802D4,edit,11/9/21 10:29,-800,scheduled,11/9/21,0,10:00:00,12:00:00,1,0,0,0,0,1,1,0,1,11/9/21,,weekly,0,0,1,0,0,0,0,0,1,,,meex
1676,100,68D99D9E-8F07-4522-B802-0DC2195D0DE5,create,11/9/21 10:30,-800,scheduled,11/9/21,0,14:30:00,15:00:00,1,0,0,0,1,0,1,0,0,11/9/21,,none,0,0,0,0,0,0,0,0,0,,,
1725,100,7EAD6BE8-DE69-4D36-B40A-05E08F0ECF98,create,11/9/21 10:39,-800,scheduled,11/9/21,0,12:30:00,14:00:00,0,0,0,1,0,0,1,0,0,11/9/21,,none,0,0,0,0,0,0,0,0,0,,,
1728,100,68D99D9E-8F07-4522-B802-0DC2195D0DE5,edit,11/9/21 10:39,-800,scheduled,11/9/21,0,14:30:00,15:00:00,1,0,0,0,1,0,1,0,0,11/9/21,,none,0,0,0,0,0,0,0,0,0,,,
1744,100,7EAD6BE8-DE69-4D36-B40A-05E08F0ECF98,edit,11/9/21 10:45,-800,scheduled,11/9/21,0,12:30:00,14:00:00,0,0,0,1,0,0,1,0,0,11/9/21,,none,0,0,0,0,0,0,0,0,0,,,
1748,100,803A5970-FDB4-48D6-9B04-903649870F9E,create,11/9/21 10:46,-800,scheduled,11/9/21,0,22:50:00,23:50:00,0,0,0,0,0,0,0,0,1,11/9/21,,daily,0,0,0,0,0,0,0,0,0,,,
1756,100,803A5970-FDB4-48D6-9B04-903649870F9E,complete,11/9/21 10:50,-800,scheduled,11/9/21,0,22:50:00,23:50:00,0,0,0,0,0,0,0,1,0,11/9/21,,daily,0,0,0,0,0,0,0,0,0,,,
1758,100,803A5970-FDB4-48D6-9B04-903649870F9E,delete,11/9/21 10:51,-800,scheduled,11/9/21,0,22:50:00,23:50:00,0,0,0,0,0,0,0,0,1,11/9/21,11/9/21,daily,0,0,0,0,0,0,0,0,0,,,
1760,100,35771A63-330A-48B9-AD14-97E417F50181,create,11/9/21 10:52,-800,scheduled,11/9/21,0,10:55:00,11:55:00,0,0,0,0,0,0,1,0,0,11/9/21,,none,0,0,0,0,0,0,0,0,0,,,
1786,100,35771A63-330A-48B9-AD14-97E417F50181,delete,11/9/21 11:00,-800,scheduled,11/9/21,0,10:55:00,11:55:00,0,0,0,0,0,0,1,0,0,11/9/21,,none,0,0,0,0,0,0,0,0,0,,,
1801,100,51748E04-4988-4E68-A02B-D5E6082FBABD,create,11/9/21 11:04,-800,scheduled,11/9/21,0,11:00:00,12:00:00,0,0,0,0,0,0,1,0,1,11/9/21,,daily,0,0,0,0,0,0,0,1,0,,,
1812,100,51748E04-4988-4E68-A02B-D5E6082FBABD,delete,11/9/21 11:07,-800,scheduled,11/10/21,0,11:00:00,12:00:00,0,0,0,0,0,0,1,0,1,11/9/21,11/9/21,daily,0,0,0,0,0,0,0,1,0,,,
1813,100,51748E04-4988-4E68-A02B-D5E6082FBABD,delete,11/9/21 11:07,-800,scheduled,11/9/21,0,11:00:00,12:00:00,0,0,0,0,0,0,1,0,1,11/9/21,11/9/21,daily,0,0,0,0,0,0,0,1,0,,,
1830,100,7D419085-BA87-4962-BDCD-5D21B809C199,create,11/9/21 11:22,-800,scheduled,11/11/21,0,9:00:00,10:00:00,1,0,0,1,0,0,1,0,0,11/11/21,,none,0,0,0,0,0,0,0,0,0,,,
1831,100,7D419085-BA87-4962-BDCD-5D21B809C199,create,11/9/21 11:22,-800,scheduled,11/11/21,0,9:00:00,10:00:00,1,0,0,1,0,0,1,0,0,11/11/21,,none,0,0,0,0,0,0,0,0,0,,,
1850,100,8FA1AEBB-F237-4E8E-AC09-84EB409BFB38,create,11/9/21 11:30,-800,scheduled,11/16/21,0,7:00:00,8:00:00,0,0,0,0,0,0,1,0,1,11/16/21,,daily,0,0,0,0,0,0,0,0,0,,,
1864,100,F24985CE-F4DF-42D7-B674-BD78E1FF8F78,create,11/9/21 11:31,-800,scheduled,11/16/21,0,12:00:00,13:00:00,0,0,0,0,0,0,1,0,1,11/16/21,,daily,0,0,0,0,0,0,0,0,0,,,
1875,100,8FA1AEBB-F237-4E8E-AC09-84EB409BFB38,complete,11/9/21 11:34,-800,scheduled,11/16/21,0,7:00:00,8:00:00,0,0,0,0,0,0,1,1,0,11/16/21,,daily,0,0,0,0,0,0,0,0,0,,,
1876,100,8FA1AEBB-F237-4E8E-AC09-84EB409BFB38,edit,11/9/21 11:34,-800,scheduled,11/16/21,0,7:00:00,8:00:00,1,0,0,0,0,0,1,0,1,11/16/21,,daily,0,0,0,0,0,0,0,0,0,,,
1880,100,8FA1AEBB-F237-4E8E-AC09-84EB409BFB38,edit,11/9/21 11:35,-800,scheduled,11/18/21,0,7:00:00,8:00:00,0,0,0,0,0,0,1,0,1,11/18/21,,daily,0,0,0,0,0,0,0,0,0,,,
1882,100,F24985CE-F4DF-42D7-B674-BD78E1FF8F78,edit,11/9/21 11:35,-800,scheduled,11/18/21,0,12:00:00,13:00:00,0,0,0,0,0,0,1,0,1,11/18/21,,daily,0,0,0,0,0,0,0,0,0,,,
1885,100,8FA1AEBB-F237-4E8E-AC09-84EB409BFB38,edit,11/9/21 11:36,-800,scheduled,11/17/21,0,7:00:00,8:00:00,0,0,0,0,0,0,1,0,0,11/16/21,,daily,0,0,0,0,0,0,0,0,0,,,
1888,100,8FA1AEBB-F237-4E8E-AC09-84EB409BFB38,delete,11/9/21 11:37,-800,scheduled,11/17/21,0,7:00:00,8:00:00,0,0,0,0,0,0,1,0,0,11/16/21,,daily,0,0,0,0,0,0,0,0,0,,,
1891,100,A65F8172-1058-432A-BFE9-164056A7C920,create,11/9/21 11:38,-800,scheduled,11/9/21,0,7:00:00,7:10:00,0,0,0,0,0,0,1,0,1,11/9/21,,daily,0,0,0,0,0,0,0,1,0,,,
1896,100,F24985CE-F4DF-42D7-B674-BD78E1FF8F78,delete,11/9/21 11:38,-800,scheduled,11/17/21,0,12:00:00,13:00:00,0,0,0,0,0,0,1,0,1,11/16/21,11/9/21,daily,0,0,0,0,0,0,0,0,0,,,
1897,100,8FA1AEBB-F237-4E8E-AC09-84EB409BFB38,complete,11/9/21 11:39,-800,scheduled,11/18/21,0,7:00:00,8:00:00,0,0,0,0,0,0,1,1,0,11/18/21,,daily,0,0,0,0,0,0,0,0,0,,,
1899,100,8FA1AEBB-F237-4E8E-AC09-84EB409BFB38,delete,11/9/21 11:39,-800,scheduled,11/18/21,0,7:00:00,8:00:00,0,0,0,0,0,0,1,0,1,11/18/21,11/9/21,daily,0,0,0,0,0,0,0,0,0,,,
1905,100,68D99D9E-8F07-4522-B802-0DC2195D0DE5,edit,11/9/21 11:45,-800,scheduled,11/9/21,0,14:30:00,15:00:00,1,0,0,0,1,0,1,0,0,11/9/21,,none,0,0,0,0,0,0,0,0,0,,,
1906,100,7EAD6BE8-DE69-4D36-B40A-05E08F0ECF98,complete,11/9/21 11:47,-800,scheduled,11/9/21,0,12:30:00,14:00:00,0,0,0,1,0,0,1,1,0,11/9/21,,none,0,0,0,0,0,0,0,0,0,,,
1997,100,A65F8172-1058-432A-BFE9-164056A7C920,complete,11/9/21 19:10,-800,scheduled,11/9/21,0,7:00:00,7:10:00,0,0,0,0,0,0,1,1,0,11/9/21,,daily,0,0,0,0,0,0,0,1,0,,,
1998,100,68D99D9E-8F07-4522-B802-0DC2195D0DE5,complete,11/9/21 19:11,-800,scheduled,11/9/21,0,14:30:00,15:00:00,1,0,0,0,1,0,1,1,0,11/9/21,,none,0,0,0,0,0,0,0,0,0,,,
1999,100,A8C1CE32-0932-4DB1-9072-65A69FF802D4,edit,11/9/21 19:11,-800,scheduled,11/9/21,0,10:00:00,12:00:00,1,0,0,0,0,1,1,0,1,11/9/21,,weekly,0,0,1,0,0,0,0,0,0,,,meex
2001,100,A8C1CE32-0932-4DB1-9072-65A69FF802D4,complete,11/9/21 19:11,-800,scheduled,11/9/21,0,10:00:00,12:00:00,1,0,0,0,0,1,1,1,0,11/9/21,,weekly,0,0,1,0,0,0,0,0,0,,,meex
2002,100,96650451-8ACF-45B3-8FB4-500D1C60868E,create,11/9/21 19:18,-800,scheduled,11/10/21,0,17:00:00,21:00:00,0,0,0,0,0,0,0,0,1,11/10/21,12/14/21,weekly,0,0,0,1,0,0,0,0,0,,,
2003,100,778ACE5B-6CAF-43B1-BDA5-354A22E77977,create,11/9/21 19:19,-800,scheduled,11/11/21,0,17:00:00,21:00:00,0,0,0,0,0,0,1,0,0,11/11/21,,none,0,0,0,0,0,0,0,0,0,,,
2004,100,7EB286B9-5E2F-40B2-A166-A6011ED175B0,create,11/9/21 19:21,-800,todo,11/20/21,1,,,0,0,0,0,0,0,1,0,0,11/20/21,,none,0,0,0,0,0,0,0,0,0,,,
2005,100,F644F30F-C034-423B-A828-641F2684E1BE,create,11/9/21 19:23,-800,scheduled,11/11/21,0,9:00:00,10:00:00,0,0,0,0,1,0,1,0,0,11/11/21,,none,0,0,0,0,0,0,0,0,0,,,
2006,100,F644F30F-C034-423B-A828-641F2684E1BE,delete,11/9/21 19:23,-800,scheduled,11/11/21,0,9:00:00,10:00:00,0,0,0,0,1,0,1,0,0,11/11/21,,none,0,0,0,0,0,0,0,0,0,,,
2007,100,6EE6B51B-3106-4978-8737-385700E0118E,create,11/9/21 19:25,-800,scheduled,11/10/21,0,12:00:00,12:10:00,0,0,1,0,0,0,1,0,1,11/10/21,,daily,0,0,0,0,0,0,0,1,0,,,
2008,100,68D99D9E-8F07-4522-B802-0DC2195D0DE5,edit,11/9/21 19:27,-800,scheduled,11/9/21,0,14:30:00,15:00:00,1,0,0,0,1,0,1,0,0,11/9/21,,none,0,0,0,0,0,0,0,0,0,,,
2009,100,68D99D9E-8F07-4522-B802-0DC2195D0DE5,complete,11/9/21 19:27,-800,scheduled,11/9/21,0,14:30:00,15:00:00,1,0,0,0,1,0,1,1,0,11/9/21,,none,0,0,0,0,0,0,0,0,0,,,
2010,100,523B4660-E099-42DB-A712-DDDE55078D60,create,11/9/21 19:31,-800,todo,11/10/21,1,,,0,0,0,0,0,0,1,0,0,11/10/21,,none,0,0,0,0,0,0,0,0,0,,,
2054,100,A65F8172-1058-432A-BFE9-164056A7C920,complete,11/10/21 7:00,-800,scheduled,11/10/21,0,7:00:00,7:10:00,0,0,0,0,0,0,1,1,0,11/9/21,,daily,0,0,0,0,0,0,0,1,0,,,
2056,100,37AE9736-6E3D-446B-84D7-BEC40C3D5FD5,create,11/10/21 7:01,-800,scheduled,11/10/21,0,10:00:00,11:00:00,0,0,0,0,0,0,1,0,0,11/10/21,,none,0,0,0,0,0,0,0,0,0,,,
2074,100,37AE9736-6E3D-446B-84D7-BEC40C3D5FD5,complete,11/10/21 10:00,-800,scheduled,11/10/21,0,10:00:00,11:00:00,0,0,0,0,0,0,1,1,0,11/10/21,,none,0,0,0,0,0,0,0,0,0,,,
2106,100,6EE6B51B-3106-4978-8737-385700E0118E,complete,11/10/21 14:37,-800,scheduled,11/10/21,0,12:00:00,12:10:00,0,0,1,0,0,0,1,1,0,11/10/21,,daily,0,0,0,0,0,0,0,1,0,,,
2393,100,A65F8172-1058-432A-BFE9-164056A7C920,complete,11/11/21 7:46,-800,scheduled,11/11/21,0,7:00:00,7:10:00,0,0,0,0,0,0,1,1,0,11/9/21,,daily,0,0,0,0,0,0,0,1,0,,,
2394,100,96650451-8ACF-45B3-8FB4-500D1C60868E,complete,11/11/21 7:46,-800,scheduled,11/10/21,0,17:00:00,21:00:00,0,0,0,0,0,0,0,1,0,11/10/21,12/14/21,weekly,0,0,0,1,0,0,0,0,0,,,
2395,100,523B4660-E099-42DB-A712-DDDE55078D60,complete,11/11/21 7:46,-800,todo,11/10/21,1,,,0,0,0,0,0,0,1,1,0,11/10/21,,none,0,0,0,0,0,0,0,0,0,,,
2434,100,7D419085-BA87-4962-BDCD-5D21B809C199,complete,11/11/21 11:38,-800,scheduled,11/11/21,0,9:00:00,10:00:00,1,0,0,1,0,0,1,1,0,11/11/21,,none,0,0,0,0,0,0,0,0,0,,,
2435,100,6EE6B51B-3106-4978-8737-385700E0118E,complete,11/11/21 11:38,-800,scheduled,11/11/21,0,12:00:00,12:10:00,0,0,1,0,0,0,1,1,0,11/10/21,,daily,0,0,0,0,0,0,0,1,0,,,
2496,100,778ACE5B-6CAF-43B1-BDA5-354A22E77977,complete,11/11/21 22:23,-800,scheduled,11/11/21,0,17:00:00,21:00:00,0,0,0,0,0,0,1,1,0,11/11/21,,none,0,0,0,0,0,0,0,0,0,,,
2530,100,A65F8172-1058-432A-BFE9-164056A7C920,complete,11/12/21 8:53,-800,scheduled,11/12/21,0,7:00:00,7:10:00,0,0,0,0,0,0,1,1,0,11/9/21,,daily,0,0,0,0,0,0,0,1,0,,,
2538,100,E61B0D5B-CADA-40D9-AD7B-45DA814293DC,create,11/12/21 9:23,-800,scheduled,11/17/21,0,13:00:00,14:00:00,0,0,0,0,1,0,1,0,0,11/17/21,,none,0,0,0,0,0,0,0,0,0,,,
2539,100,21B5C6F2-DBB9-4B69-922F-BCF5742913C2,create,11/12/21 9:31,-800,scheduled,11/16/21,0,15:00:00,16:00:00,0,0,0,0,0,0,1,0,0,11/16/21,,none,0,0,0,0,0,0,0,0,0,,,
2636,100,6EE6B51B-3106-4978-8737-385700E0118E,complete,11/12/21 18:56,-800,scheduled,11/12/21,0,12:00:00,12:10:00,0,0,1,0,0,0,1,1,0,11/10/21,,daily,0,0,0,0,0,0,0,1,0,,,
2637,100,29BC7C38-82A5-4B9A-BFEA-010A7B8FA8E4,create,11/12/21 18:57,-800,scheduled,11/15/21,0,18:00:00,19:00:00,0,0,0,0,0,0,1,0,0,11/15/21,,none,0,0,0,0,0,0,0,0,0,,,
2672,100,A65F8172-1058-432A-BFE9-164056A7C920,complete,11/13/21 7:00,-800,scheduled,11/13/21,0,7:00:00,7:10:00,0,0,0,0,0,0,1,1,0,11/9/21,,daily,0,0,0,0,0,0,0,1,0,,,
2673,100,3571D6B7-ED70-402F-963C-BB5C4850161B,create,11/13/21 7:01,-800,scheduled,11/13/21,0,13:00:00,18:00:00,0,0,0,0,0,0,1,0,0,11/13/21,,none,0,0,0,0,0,0,0,0,0,,,
2674,100,9755AF44-6FA9-486A-B747-2A0FC05D6D4B,create,11/13/21 7:03,-800,scheduled,11/14/21,0,7:00:00,8:00:00,0,0,0,0,0,0,1,0,0,11/14/21,,none,0,0,0,0,0,0,0,0,0,,,
2714,100,6EE6B51B-3106-4978-8737-385700E0118E,complete,11/13/21 19:28,-800,scheduled,11/13/21,0,12:00:00,12:10:00,0,0,1,0,0,0,1,1,0,11/10/21,,daily,0,0,0,0,0,0,0,1,0,,,
2715,100,6EE6B51B-3106-4978-8737-385700E0118E,complete,11/13/21 19:28,-800,scheduled,11/13/21,0,12:00:00,12:10:00,0,0,1,0,0,0,1,0,0,11/10/21,,daily,0,0,0,0,0,0,0,1,0,,,
2716,100,3571D6B7-ED70-402F-963C-BB5C4850161B,complete,11/13/21 19:28,-800,scheduled,11/13/21,0,13:00:00,18:00:00,0,0,0,0,0,0,1,1,0,11/13/21,,none,0,0,0,0,0,0,0,0,0,,,
2717,100,6EE6B51B-3106-4978-8737-385700E0118E,complete,11/13/21 19:28,-800,scheduled,11/13/21,0,12:00:00,12:10:00,0,0,1,0,0,0,1,1,0,11/10/21,,daily,0,0,0,0,0,0,0,1,0,,,
2723,100,A65F8172-1058-432A-BFE9-164056A7C920,complete,11/14/21 6:43,-800,scheduled,11/14/21,0,7:00:00,7:10:00,0,0,0,0,0,0,1,1,0,11/9/21,,daily,0,0,0,0,0,0,0,1,0,,,
2724,100,9755AF44-6FA9-486A-B747-2A0FC05D6D4B,complete,11/14/21 6:43,-800,scheduled,11/14/21,0,7:00:00,8:00:00,0,0,0,0,0,0,1,1,0,11/14/21,,none,0,0,0,0,0,0,0,0,0,,,
2792,100,6EE6B51B-3106-4978-8737-385700E0118E,complete,11/14/21 16:02,-800,scheduled,11/14/21,0,12:00:00,12:10:00,0,0,1,0,0,0,1,1,0,11/10/21,,daily,0,0,0,0,0,0,0,1,0,,,
2793,100,1B7BEB4E-0CCB-4FE6-8C67-90AAF3D06B95,create,11/14/21 16:04,-800,scheduled,11/15/21,0,10:30:00,11:40:00,0,0,0,0,0,0,1,0,0,11/15/21,,none,0,0,0,0,0,0,0,0,0,,,
2794,100,40E4724F-C0A1-4887-A22A-41325A6D0823,create,11/14/21 16:06,-800,scheduled,11/16/21,0,14:00:00,15:00:00,1,0,0,0,0,0,1,0,1,11/16/21,1/11/22,weekly,1,0,1,0,0,0,0,0,0,,,
2795,100,937A9E9F-0EDE-4A29-975F-E4B91224C60D,create,11/14/21 16:08,-800,scheduled,11/18/21,0,8:05:00,18:05:00,0,0,0,0,0,0,0,0,0,11/18/21,,none,0,0,0,0,0,0,0,0,0,,,
2796,100,1614CA7A-9D6C-4813-B566-80DB610C389C,create,11/14/21 16:08,-800,todo,11/12/21,1,,,0,0,0,0,0,0,1,0,0,11/12/21,,none,0,0,0,0,0,0,0,0,0,,,
2797,100,67DCE2FE-A711-4BD6-B4D3-136074A42072,create,11/14/21 16:09,-800,todo,11/19/21,1,,,0,0,0,0,0,0,1,0,0,11/19/21,,none,0,0,0,0,0,0,0,0,0,,,
2798,100,40E4724F-C0A1-4887-A22A-41325A6D0823,complete,11/14/21 16:10,-800,scheduled,11/16/21,0,14:00:00,15:00:00,1,0,0,0,0,0,1,1,0,11/16/21,1/11/22,weekly,1,0,1,0,0,0,0,0,0,,,
2799,100,0D3AD8E8-F26A-4B23-8C6D-EA9DF045E954,create,11/14/21 16:11,-800,todo,11/14/21,1,,,0,0,0,0,0,0,1,0,0,11/14/21,,none,0,0,0,0,0,0,0,0,0,,,
2800,100,0D3AD8E8-F26A-4B23-8C6D-EA9DF045E954,create,11/14/21 16:11,-800,todo,11/14/21,1,,,0,0,0,0,0,0,1,0,0,11/14/21,,none,0,0,0,0,0,0,0,0,0,,,
2801,100,0D3AD8E8-F26A-4B23-8C6D-EA9DF045E954,delete,11/14/21 16:11,-800,todo,11/14/21,1,,,0,0,0,0,0,0,1,0,0,11/14/21,,none,0,0,0,0,0,0,0,0,0,,,
2802,100,40E4724F-C0A1-4887-A22A-41325A6D0823,delete,11/14/21 16:12,-800,scheduled,11/21/21,0,14:00:00,15:00:00,1,0,0,0,0,0,1,0,1,11/16/21,1/11/22,weekly,1,0,1,0,0,0,0,0,0,,,
2803,100,52114B06-B6B8-4C9C-AA76-EC6898B8A572,create,11/14/21 16:12,-800,todo,11/21/21,1,,,0,0,0,0,0,0,1,0,0,11/21/21,,none,0,0,0,0,0,0,0,0,0,,,
2804,100,40E4724F-C0A1-4887-A22A-41325A6D0823,delete,11/14/21 16:12,-800,scheduled,11/16/21,0,14:00:00,15:00:00,1,0,0,0,0,0,1,0,1,11/16/21,1/11/22,weekly,1,0,1,0,0,0,0,0,0,,,
2805,100,CDA2B844-0D86-4EB1-A635-A9D556349267,create,11/14/21 16:14,-800,scheduled,11/16/21,0,14:00:00,15:00:00,0,0,0,0,0,0,1,0,1,11/16/21,1/11/22,weekly,1,0,1,0,0,0,0,0,0,,,
2806,100,CDA2B844-0D86-4EB1-A635-A9D556349267,delete,11/14/21 16:15,-800,scheduled,11/21/21,0,14:00:00,15:00:00,0,0,0,0,0,0,1,0,1,11/16/21,1/11/22,weekly,1,0,1,0,0,0,0,0,0,,,
2866,100,A8C1CE32-0932-4DB1-9072-65A69FF802D4,delete,11/15/21 7:55,-800,scheduled,12/28/21,0,10:00:00,12:00:00,1,0,0,0,0,1,1,0,0,11/9/21,,weekly,0,0,1,0,0,0,0,0,0,,,meex
2867,100,A65F8172-1058-432A-BFE9-164056A7C920,complete,11/15/21 7:56,-800,scheduled,11/15/21,0,7:00:00,7:10:00,0,0,0,0,0,0,1,1,0,11/9/21,,daily,0,0,0,0,0,0,0,1,0,,,
2917,100,1B7BEB4E-0CCB-4FE6-8C67-90AAF3D06B95,complete,11/15/21 12:00,-800,scheduled,11/15/21,0,10:30:00,11:40:00,0,0,0,0,0,0,1,1,0,11/15/21,,none,0,0,0,0,0,0,0,0,0,,,
